lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.180515
# Diagonal elements of inverse mass matrix:
# 4.26879, 3.67703, 1.21578, 1.26412, 0.329075, 1.01583, 0.99789, 0.901278, 0.985468, 0.91373, 0.900276, 0.986001, 1.01599, 0.942011, 0.934815, 0.987619, 0.949698, 0.990139, 0.933901, 1.08769, 0.900498, 0.981759, 0.930725, 3.23428
-12.1227,0.995738,0.180515,4,15,0,27.2562,0.0356883,-2.44585,0.759026,0.164537,1,-0.466059,0,0.884754,-0.665227,-0.961257,0.3496,0.77552,-0.208273,0.316827,-0.926676,-1.41192,-0.240347,0.162852,-0.605114,0.0824804,1.43561,1.88562,0.617557,-0.888949,-0.546068,1.17846,0.166417,0.759026,-0.076684,0,0.145575,-0.504925,-0.729619,0.265355,0.58864,-0.158085,0.24048,-0.703372,-1.07169,-0.18243,0.0747195,-0.0143765,-0.0148016,0.149519,0.29047,0.0656053,-0.0583476,0.028778,0.189985,0.588084,0.508147,0.0805813,0.158579,0.0848335,-0.427565,4,61,53,18,22,275,13,25,39,2,15,1,3,1,45,1,6,13
-10.8597,0.998581,0.180515,5,31,0,21.8962,-0.288894,2.42202,0.392529,0.70671,1,0.470885,0,0.882194,0.449276,0.43785,-0.773236,-1.03245,0.325607,-0.174648,1.02126,1.56863,0.171166,-0.383989,0.795873,0.055872,-1.77547,-1.56471,-0.0840273,0.405148,0.0226271,-0.742528,0.837483,0.392529,0.332779,0,0.623456,0.176354,0.171869,-0.303517,-0.405266,0.12781,-0.0685543,0.400876,0.615733,0.0671877,-0.0898902,0.641899,-0.222483,-1.45051,-0.867173,-0.110506,0.592448,0.536116,-0.405973,0.588084,0.430088,0.903485,2.1007,12.4043,0.473396,0,0,0,0,0,230,15,0,0,0,0,0,0,0,463,29,0,0
-15.5931,0.912468,0.180515,5,31,0,24.4069,-2.1862,-0.337862,0.262095,0.383099,1,0.380216,0,0.924898,1.04711,0.346833,-0.222306,-0.478888,-1.83437,-1.84027,-0.0879997,1.71189,-0.0133317,-0.0700429,0.472577,2.3899,-1.93895,-0.797499,0.304213,0.440541,0.878085,-0.453426,0.824695,0.262095,0.14566,0,0.354327,0.274442,0.0909033,-0.0582654,-0.125514,-0.48078,-0.482327,-0.0230643,0.448678,-0.00349417,0.127704,0.217967,0.814425,-0.756778,-0.549771,-0.160264,0.143278,0.560484,-0.162603,0.588084,0.103337,0.418338,4.04828,6.24064,0.315001,2,34,0,0,0,0,0,0,0,6,72,0,0,0,0,0,0,0
-16.6108,0.970092,0.180515,5,31,0,34.7637,-0.846547,1.16003,0.207293,0.381527,1,-0.587388,0,0.809305,-0.842511,-0.689492,0.0932885,1.2989,2.45807,-0.499326,-0.752182,-0.987635,0.247444,-1.33705,-0.493443,-2.67509,1.03293,1.20256,-0.618464,-0.532317,0.273447,-0.4551,0.117379,0.207293,-0.224105,0,0.308772,-0.174647,-0.142927,0.0193381,0.269254,0.509542,-0.103507,-0.155922,-0.20473,0.0512935,-0.224034,0.0021567,-0.8469,0.02785,-0.17955,-0.079063,0.00420288,0.305767,-0.195976,0.588084,0.301466,0.756188,2.50837,7.1866,0.454722,2,55,20,12,18,0,6,24,23,7,134,14,26,9,0,21,81,77
-14.9834,0.992228,0.180515,5,31,0,28.6522,2.58992,1.4394,0.213369,1.37031,1,-0.229037,0,0.973418,-1.47774,0.310674,-0.225628,0.647627,-0.646875,1.58256,0.373214,0.0268046,-0.43435,0.408036,0.139397,1.42275,0.405476,0.133164,1.08085,-1.71235,-1.74106,0.948838,0.810878,0.213369,-0.313851,0,1.33388,-0.315305,0.0662884,-0.0481422,0.138184,-0.138023,0.337669,0.0796324,0.00571928,-0.0926769,1.00806,0.0884329,1.96859,0.337598,0.380646,0.945034,-2.4012,-2.33078,1.40196,0.588084,0.928891,0.754133,0.811864,0.234806,-0.174758,0,0,74,27,0,482,0,0,0,0,0,20,28,0,453,0,0,0
-15.2089,0.99993,0.180515,5,31,0,26.2169,1.50616,-0.468224,0.298163,0.312213,1,-0.275504,0,0.9613,-1.32029,0.668444,-0.212962,1.70818,0.711677,1.8164,0.789397,-0.115615,0.662945,2.75219,0.052086,-0.0487222,-0.0694199,-0.804477,0.44706,-0.418271,0.495541,-1.59627,0.924475,0.298163,-0.0860161,0,0.30013,-0.393661,0.199305,-0.0634976,0.509317,0.212196,0.541583,0.235369,-0.0344721,0.197666,0.939581,-0.0418643,0.00369516,-0.167766,-0.302664,-0.0220631,-0.193437,0.158672,-0.536112,0.588084,0.815104,0.386861,0.474615,0.143123,-0.428243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22.0956,0.976865,0.180515,4,15,0,33.6145,-2.89057,3.44489,0.07019,0.319702,1,-0.0420726,0,0.999115,1.51105,1.8224,0.613416,-0.592996,1.58278,-1.9385,-0.579761,-0.18191,-0.305987,-2.81144,-0.6081,-2.11414,0.805728,-0.211994,0.769968,-0.326682,-1.9637,-0.107801,0.572858,0.07019,-0.0134507,0,0.319419,0.106061,0.127914,0.0430557,-0.0416224,0.111095,-0.136063,-0.0406934,-0.0127682,-0.0214772,-0.918351,-0.218751,-0.683546,0.265341,-0.0890044,0.272016,-0.09655,-0.624796,-0.030318,0.588084,0.0527443,0.967251,18.3385,530.428,0.914506,0,11,4,3,0,0,0,0,0,0,166,20,32,0,0,0,0,0
-21.4732,0.994152,0.180515,5,31,0,38.6306,-3.93333,-0.304014,0.0745323,0.603518,1,0.182462,0,0.983213,1.36937,-3.24098,-0.566896,0.905775,-1.3325,-0.635022,0.0518014,0.952533,1.72618,-0.727193,-1.32886,0.350396,-1.62062,-1.25741,-0.257345,-0.556471,1.21821,-1.75728,0.596285,0.0745323,0.110119,0,0.593387,0.102063,-0.241557,-0.0422521,0.0675095,-0.0993142,-0.0473297,0.00386087,0.0709945,0.128656,-0.280713,-1.14542,0.145494,-0.861913,-0.892863,-0.222634,-0.324499,0.827764,-0.85266,0.588084,0.0192735,0.42886,22.2513,38.2085,0.409587,0,0,0,0,0,6,0,3,0,7,0,0,0,0,178,0,67,0
-15.4905,0.999945,0.180515,5,31,0,29.6042,-1.23345,2.39046,0.041203,0.587899,1,-0.448961,0,0.893551,0.695641,-2.12636,-1.97194,0.891813,-0.330024,-0.80111,0.923515,1.14266,1.41525,1.03935,-0.362906,-0.150045,-0.371874,-0.366276,0.0671398,0.331121,0.461308,-1.65966,0.671941,0.041203,-0.263944,0,0.525318,0.0286625,-0.0876125,-0.08125,0.0367454,-0.013598,-0.0330081,0.0380516,0.047081,0.0583127,0.362377,0.370598,0.441661,-0.430741,-0.105303,0.246717,-0.0698119,-0.0592641,-1.2454,0.588084,0.225641,0.905445,4.01276,32.8625,0.679804,0,51,0,6,0,115,0,0,23,0,155,0,30,0,458,0,0,74
-14.5875,0.992877,0.180515,5,31,0,28.0355,0.802803,-2.20874,0.0647424,0.805134,1,0.0144737,0,0.999895,0.405939,2.31265,2.22173,-0.983199,0.260232,0.88275,-0.729947,-0.101178,-1.87899,-0.143441,0.155125,-0.171705,0.512993,0.928923,0.0709841,-0.356923,-0.766863,0.955017,0.613695,0.0647424,0.0116533,0,0.80505,0.0262815,0.149727,0.14384,-0.0636547,0.016848,0.0571514,-0.0472585,-0.0065505,-0.12165,-0.110746,0.151834,-0.112341,0.401528,0.750862,0.0674327,-0.295847,-0.618542,0.746939,0.588084,0.69045,0.119595,0.173213,0.0609018,-0.570854,0,0,53,0,34,0,20,76,62,0,0,5,0,2,0,4,6,15
