lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_prior.1.1,y_prior.2.1,y_prior.3.1,y_prior.4.1,y_prior.5.1,y_prior.6.1,y_prior.7.1,y_prior.8.1,y_prior.9.1,y_prior.1.2,y_prior.2.2,y_prior.3.2,y_prior.4.2,y_prior.5.2,y_prior.6.2,y_prior.7.2,y_prior.8.2,y_prior.9.2
# Adaptation terminated
# Step size = 0.0727489
# Diagonal elements of inverse mass matrix:
# 95.7816, 101.461, 1.23206, 1.23015, 0.303326, 0.882358, 1.10272, 0.998361, 0.941129, 0.956357, 0.936554, 0.94045, 0.952729, 1.01399, 0.977728, 1.12269, 0.920401, 0.98989, 0.936226, 0.955028, 1.0362, 0.920647, 0.924963, 3.81298
-16.5051,0.993548,0.0727489,6,63,0,32.0467,3.82594,9.26404,0.0831822,0.296092,1,-0.291206,0,0.95666,0.621663,-1.14417,0.265803,0.64036,0.710708,-0.805084,0.90744,-0.0746646,0.802713,1.05025,-0.621599,0.84071,1.09167,2.16616,1.26679,0.109333,-1.03818,-1.88516,0.97598,0.0831822,-0.0862238,0,0.28326,0.0517113,-0.0951742,0.0221101,0.0532665,0.0591183,-0.0669687,0.0754828,-0.00621077,0.0667714,0.243892,-0.0774196,0.215221,0.254012,0.552307,0.428248,-0.0472734,-0.287637,-0.603201,0.588084,0.978571,0.999891,1.02179,201.409,0.0213198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-14.0352,0.999975,0.0727489,6,63,0,27.1093,19.7195,11.6881,0.0984763,0.327868,1,0.159876,0,0.987137,-0.380275,-0.461079,-0.638828,0.0372324,-2.0417,-0.0727346,-1.19175,-0.508442,0.240563,0.307741,0.769379,1.65066,-0.584709,-0.690591,1.73187,-0.724553,-0.552031,-0.613449,0.324029,0.0984763,0.0524182,0,0.323651,-0.0374481,-0.0454054,-0.0629094,0.00366651,-0.20106,-0.00716263,-0.117359,-0.0500695,0.0236898,0.0796674,0.224841,0.50075,-0.18729,-0.330533,0.556709,-0.296972,-0.205317,-0.185933,0.588084,1,0.99999,0.99999,0.000271982,-1.03656e-05,12,0,80,30,51,0,30,101,0,12,0,20,34,13,0,30,100,0
-17.9949,0.997713,0.0727489,6,63,0,29.6625,-22.4114,-13.8725,0.115638,0.608343,1,-0.190352,0,0.981716,-0.818224,0.15891,-0.578742,-2.20519,1.03388,0.286671,-0.542294,-0.26609,-0.180059,-0.480873,-1.14865,-2.08225,-0.0523307,0.557301,-0.207359,-0.428432,2.67671,-0.912376,0.649866,0.115638,-0.115799,0,0.59722,-0.094618,0.0183761,-0.0669248,-0.255005,0.119556,0.0331501,-0.06271,-0.0307703,-0.0208218,-0.192437,-0.704397,-1.17654,0.224107,0.213109,-0.157035,-0.193071,1.6294,-0.524039,0.588084,1.94655e-10,2.12491e-06,10916.3,10916.3,2.12471e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.6643,0.99844,0.0727489,5,31,0,30.1451,-21.9958,-14.089,0.325335,0.53956,1,-0.514338,0,0.857587,-1.09873,0.195094,-0.499968,-2.7463,1.37566,-0.763168,-0.819228,-1.33042,-0.646596,-0.557885,-1.18284,-1.95,-0.0671753,-0.133218,0.0118354,-0.687865,2.50542,-1.24382,0.476312,0.325335,-0.277517,0,0.46272,-0.357454,0.0634709,-0.162657,-0.893467,0.447549,-0.248285,-0.266523,-0.432832,-0.21036,0.0467703,-0.601468,-0.763555,0.73106,-0.44341,0.217268,-0.0909399,1.52852,-0.396101,0.588084,4.145e-10,1.47155e-06,3550.17,3550.18,1.47113e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12.8934,0.998421,0.0727489,6,63,0,34.1424,-0.370508,-16.0431,0.368551,0.540912,1,0.170546,0,0.98535,0.389376,1.41867,0.607077,-0.543615,-0.228114,0.203335,-0.929648,1.93143,-0.593009,-2.31618,0.0663141,0.385136,0.616291,-0.725046,0.55865,-0.466303,1.05902,0.731577,0.123264,0.368551,0.0922501,0,0.532987,0.143505,0.522854,0.223739,-0.20035,-0.0840718,0.0749393,-0.342623,0.711833,-0.218554,-1.19858,0.166217,0.261275,0.278327,-0.407484,0.316511,-0.334294,0.742617,0.335216,0.588084,0.410451,2.29289e-07,5.58628e-07,3.29338e-07,-0.410451,7,133,0,12,20,230,8,54,37,0,0,0,0,0,0,0,0,0
-14.7915,0.999165,0.0727489,6,63,0,22.8672,2.03791,20.6745,0.766211,0.511752,1,-0.157191,0,0.987568,0.223581,-1.36305,-0.237351,0.691142,0.333268,-0.178732,1.09159,-2.19746,0.520601,2.08498,0.425473,-0.134477,-0.714909,0.81991,-0.430596,0.153416,-0.993075,-0.288273,0.965201,0.766211,-0.0804427,0,0.50539,0.17131,-1.04438,-0.181861,0.529561,0.255354,-0.136946,0.836387,-1.68372,0.39889,1.03575,0.324677,-0.0488701,-0.416905,0.387566,-0.203241,-0.0102753,-0.325121,-0.187569,0.588084,0.865063,1,1.15599,6.17991e+07,0.134937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.72506,0.999666,0.0727489,5,31,0,19.8991,10.4013,1.39346,0.236971,0.372554,1,-0.372257,0,0.92813,0.0525456,-0.751176,0.1548,0.738155,0.997148,-0.396213,0.364237,-0.205166,-0.778473,0.784494,0.0937545,-0.491294,-0.1402,-0.291367,-0.920874,-0.838349,-1.54637,-0.205552,0.608004,0.236971,-0.138686,0,0.345779,0.0124518,-0.178007,0.0366829,0.174921,0.236295,-0.0938908,0.0863134,-0.0486182,-0.184475,0.263974,0.136596,-0.191347,-0.15085,-0.239039,-0.263469,-0.340398,-0.506247,0.0368878,0.588084,0.999966,0.79595,0.795977,0.000130968,-0.204016,12,224,80,0,0,0,0,0,0,10,141,15,0,0,0,0,0,0
-7.879,0.997489,0.0727489,6,63,0,18.2413,-15.4259,-0.109827,0.483198,0.252945,1,0.136967,0,0.990576,-0.0827977,0.727823,0.543533,-0.621809,-1.32149,0.465671,-0.874569,-0.511109,0.5463,-0.700531,0.269886,0.0370992,-0.0509857,-0.459782,1.1948,0.681515,0.546229,0.536375,0.632422,0.483198,0.034645,0,0.250561,-0.0400077,0.351683,0.262634,-0.300457,-0.63854,0.225012,-0.42259,-0.246967,0.263971,-0.178394,0.0928385,0.0281264,-0.0343176,-0.160986,0.315503,0.140462,0.119156,0.153321,0.588084,3.59524e-07,0.472869,1.31526e+06,2.49513e+06,0.472868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
-11.652,0.995593,0.0727489,6,63,0,20.6029,15.3556,0.626021,0.684321,0.00899208,1,-0.247144,0,0.968979,0.0848949,-0.679757,-0.539819,0.674764,1.25518,-0.485466,0.890108,0.527176,-0.431261,0.794746,-0.294714,-0.0428807,0.0537132,0.463199,-1.24442,-0.754385,-0.710808,-0.481716,0.746902,0.684321,-0.00222234,0,0.00871313,0.0580953,-0.465172,-0.36941,0.461755,0.858948,-0.332215,0.60912,0.360758,-0.295121,0.00673606,-0.00105723,0.000826037,-0.00103155,0.00124647,-0.00976396,-0.00855118,-0.00736493,-0.00323885,0.588084,0.999999,0.651585,0.651585,1.21679e-06,-0.348415,0,0,0,30,0,0,0,101,0,0,0,0,21,0,0,0,61,0
-12.0353,0.998911,0.0727489,6,63,0,18.7312,-19.2115,-5.1872,0.276311,0.0345439,1,0.395762,0,0.918353,-0.396151,0.722915,0.598273,1.07511,-1.47807,0.321021,-0.307927,-1.10113,0.8038,-0.868056,0.262409,-0.608318,0.398696,-0.0942356,0.834098,0.77716,0.476122,0.12938,0.269527,0.276311,0.0136712,0,0.0317235,-0.109461,0.199749,0.165309,0.297065,-0.408406,0.0887014,-0.0850836,-0.304255,0.222099,-0.0329537,0.0182076,-0.0111189,0.0273461,-0.0231964,0.0308492,0.0204445,5.04534e-05,0.0150933,0.588084,5.81534e-09,0.00556248,956519,961869,0.00556247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
