lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.0854703
# Diagonal elements of inverse mass matrix:
# 0.249347, 0.449047, 1.41909, 1.08653, 0.333932, 0.930945, 0.97451, 0.95328, 0.907586, 1.13495, 1.02243, 0.887816, 1.06004, 0.788147, 1.00911, 0.965062, 1.07327, 0.939581, 1.00915, 0.942458, 1.00442, 0.999081, 1.08989, 0.565672
-31.7471,0.999106,0.0854703,6,63,0,47.8341,-2.75873,-3.66146,0.142404,0.806483,1,-0.391051,0,0.920369,2.0635,-1.60425,0.463035,-1.11113,0.202883,1.24378,1.522,-0.167638,-0.54267,-0.525791,-1.41704,0.277608,1.52242,0.140231,-0.982131,0.155192,1.19624,-1.17137,0.466456,0.142404,-0.315376,0,0.742262,0.293852,-0.228452,0.0659382,-0.15823,0.0288914,0.17712,0.216739,-0.0238724,-0.0772787,-1.04105,-0.545873,0.0600282,1.48046,0.0401038,-1.12126,-0.364807,0.940793,-0.698317,0.588084,0.0601372,0.0352898,0.586822,0.571708,-0.0248474,0,12,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0
-26.459,0.999931,0.0854703,5,31,0,41.3797,-2.98526,-2.91196,0.464398,0.266428,1,-0.439966,0,0.898014,-1.6342,0.0516287,-0.979552,0.785987,-0.452747,1.10554,1.04666,-1.11126,-0.438138,-0.899671,0.356284,1.28308,-0.81166,0.0953934,-0.0951452,0.571957,0.471518,0.998563,0.716571,0.464398,-0.117219,0,0.239256,-0.75892,0.0239762,-0.454902,0.365011,-0.210255,0.51341,0.486064,-0.516067,-0.20347,-0.0236917,0.0791913,0.421807,-0.286328,0.0758942,-0.152355,0.0141561,0.243075,0.290271,0.588084,0.0531615,0.0533094,1.00278,1.00294,0.000147886,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
-28.4211,0.994672,0.0854703,5,31,0,36.6417,-2.45724,-4.07999,0.547368,0.241526,1,-0.526767,0,0.85001,-0.693516,-1.03984,-0.623083,-0.211843,0.765711,0.0912826,0.599948,-1.23615,-1.03288,-0.108346,1.25695,1.64655,0.207295,-0.0832901,0.611068,-1.07085,1.80606,-1.0386,0.649276,0.547368,-0.127228,0,0.2053,-0.379608,-0.569175,-0.341055,-0.115956,0.419126,0.0499651,0.328392,-0.676627,-0.565363,0.0659913,0.390347,0.417311,0.0695099,-0.114519,0.113838,-0.296176,0.528057,-0.0818141,0.588084,0.0879409,0.0173026,0.196753,0.18261,-0.0706382,2,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0
-29.1818,0.999514,0.0854703,6,63,0,40.618,-3.0932,-2.71536,0.565899,0.078058,1,-0.732729,0,0.680521,-0.0828698,1.04705,0.0723243,0.821381,-0.43954,0.5645,0.721372,0.372359,-0.357306,1.29484,0.299515,-0.847884,0.581943,-0.235671,-0.543569,2.12643,-1.81701,-0.189236,0.613606,0.565899,-0.0571953,0,0.0531201,-0.0468959,0.592524,0.0409283,0.464819,-0.248736,0.31945,0.408224,0.210718,-0.202199,0.0735215,-0.043976,-0.0491763,-0.0160663,0.0126208,-0.0611611,0.0716973,-0.117817,0.010384,0.588084,0.050453,0.0622396,1.23362,1.24912,0.0117866,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
-27.8954,0.997475,0.0854703,6,63,0,41.6235,-3.02476,-2.9831,0.209546,0.851601,1,0.826027,0,0.56363,-0.192055,-0.11707,-0.678065,-0.569695,1.3124,-1.0696,0.255768,1.04669,-1.81373,-0.993188,-1.30251,1.38253,-1.31427,-0.21485,0.399748,-1.38444,0.728624,-0.549914,0.813103,0.209546,0.703446,0,0.479988,-0.0402444,-0.0245315,-0.142086,-0.119377,0.275009,-0.224129,0.0535951,0.219329,-0.38006,-0.611818,-0.707541,0.186613,-1.03158,0.82008,-0.56053,-0.484598,1.08602,-1.53981,0.588084,0.0473333,0.0649308,1.37178,1.39759,0.0175975,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
-30.5014,0.99805,0.0854703,6,63,0,40.9292,-2.48822,-2.54471,0.606577,0.220268,1,0.666737,0,0.745293,0.679834,-0.0386055,-0.0830151,0.0563129,0.848772,0.0484812,0.191354,-1.55282,-0.983045,-0.216119,-1.31981,-1.45079,0.127479,-0.0955614,2.12556,-1.13798,0.167971,-2.04874,0.948236,0.606577,0.146861,0,0.164164,0.412371,-0.0234172,-0.050355,0.0341581,0.514846,0.0294076,0.116071,-0.941907,-0.596293,0.0643618,-0.222335,-0.250359,0.0291976,0.108963,0.35606,-0.158713,-0.200474,-0.4807,0.588084,0.0875775,0.0742188,0.847464,0.835235,-0.0133587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-26.5749,0.99076,0.0854703,6,63,0,42.0394,-2.71026,-3.57468,0.569936,0.258602,1,0.0905678,0,0.99589,-0.499682,-0.551692,0.014493,-0.346192,-0.534542,-0.274872,0.506269,1.32985,-0.662178,-0.271865,0.974646,1.19811,0.0374991,0.582986,-2.35324,0.688536,0.218072,-0.125616,0.381808,0.569936,0.023421,0,0.257539,-0.284787,-0.314429,0.00826005,-0.197307,-0.304655,-0.15666,0.288541,0.757931,-0.377399,-0.0817189,0.238088,0.308899,0.00154933,0.137622,-0.61249,0.189182,0.0873086,-0.0478598,0.588084,0.0711103,0.028359,0.398802,0.381255,-0.0427513,0,4,0,5,0,0,0,14,0,0,8,0,1,0,0,0,4,0
-28.4408,0.989149,0.0854703,5,31,0,39.2769,-2.67485,-2.87317,0.220295,0.212652,1,0.031948,0,0.99949,-0.938777,1.05721,-2.049,-0.907523,0.697176,0.142174,0.636403,0.268119,-0.696087,-1.93661,-1.18219,-1.00788,-1.08542,1.08321,0.881683,-0.97919,0.473235,-0.868908,0.530746,0.220295,0.0067938,0,0.212543,-0.206808,0.232899,-0.451385,-0.199923,0.153584,0.0313203,0.140196,0.0590653,-0.153344,-0.417991,-0.244085,-0.228138,-0.236864,0.234965,0.188361,-0.203796,0.102404,-0.189409,0.588084,0.065824,0.0546317,0.829965,0.820139,-0.0111924,0,0,2,1,0,0,3,0,7,0,0,1,2,0,0,0,0,6
-32.3029,0.99699,0.0854703,5,31,0,42.5407,-2.57236,-2.77123,0.336288,0.433775,1,-0.369689,0,0.929156,-2.05933,1.31058,-2.38323,-0.849392,1.02267,1.41654,2.10939,0.230827,-0.27314,-0.234914,-0.0535695,-1.36124,-1.74447,1.12524,0.989601,-1.07748,0.265347,-1.03342,0.701036,0.336288,-0.160362,0,0.403045,-0.692527,0.440734,-0.801452,-0.285641,0.343912,0.476366,0.709364,0.0776243,-0.0918537,0.235557,-0.231759,-0.166459,-0.566888,0.289526,0.171695,-0.772538,0.0699309,-0.372714,0.588084,0.0742279,0.0638503,0.860192,0.850657,-0.0103776,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0
-23.7823,0.999753,0.0854703,5,31,0,39.6388,-3.04551,-3.14156,0.731479,0.727256,1,0.198915,0,0.980017,-0.477837,0.570351,-0.590062,2.34984,0.106716,0.589712,0.115455,0.456078,-0.799881,0.262897,0.911021,-0.874599,-0.440146,0.913877,1.40118,0.739947,-0.972074,-0.296425,0.757907,0.731479,0.144662,0,0.712723,-0.349528,0.4172,-0.431618,1.71886,0.0780604,0.431362,0.0844527,0.333612,-0.585096,0.118248,0.731814,-0.708706,0.0262305,0.666779,1.08396,0.544079,-0.626842,-0.326982,0.588084,0.0574519,0.0527262,0.917746,0.913168,-0.00472565,0,28,0,0,0,32,0,0,0,0,11,0,0,0,63,0,0,0
