lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma_nu.1,sigma_nu.2,L_omega.1.1,L_omega.2.1,L_omega.1.2,L_omega.2.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.9.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,z.9.2,pi,L_Sigma.1.1,L_Sigma.2.1,L_Sigma.1.2,L_Sigma.2.2,nu.1.1,nu.2.1,nu.3.1,nu.4.1,nu.5.1,nu.6.1,nu.7.1,nu.8.1,nu.9.1,nu.1.2,nu.2.2,nu.3.2,nu.4.2,nu.5.2,nu.6.2,nu.7.2,nu.8.2,nu.9.2,C,p_control,p_treatment,RR,OR,RD,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.9.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2,y_rep.9.2
# Adaptation terminated
# Step size = 0.114203
# Diagonal elements of inverse mass matrix:
# 0.265021, 0.455949, 1.03663, 1.12578, 0.352553, 0.942046, 0.986434, 1.02486, 1.06173, 0.947038, 1.01102, 0.924956, 1.04051, 0.817756, 0.921007, 1.04567, 0.956399, 0.972675, 0.930136, 1.06886, 0.888044, 0.898969, 0.954243, 0.431915
-33.7705,0.998023,0.114203,5,31,0,46.1606,-4.42497,-4.35186,1.10817,0.14973,1,-0.658524,0,0.752559,-1.60098,-0.176139,0.636471,0.650949,0.603517,1.44938,-0.193032,-1.65304,0.37242,-0.361084,-0.113498,1.11684,0.11237,0.701289,-0.530357,1.4825,2.19729,-0.555164,0.913429,1.10817,-0.0986009,0,0.112681,-1.77415,-0.195192,0.705318,0.721362,0.668799,1.60616,-0.213912,-1.83185,0.412705,0.11717,0.00457851,0.0630903,-0.0515222,0.0195145,-0.202671,0.186082,0.410583,-0.0992773,0.588084,0.0239579,0.0129313,0.539753,0.533723,-0.0110266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.3117,0.997676,0.114203,5,31,0,49.9332,-3.05652,-2.39064,0.501737,0.17424,1,0.392495,0,0.919754,1.28058,0.860482,-1.37555,0.474182,1.71276,-0.651473,0.0387053,0.617527,0.462492,1.09064,1.91737,-2.27995,0.613722,0.088253,0.0855435,2.97305,-0.447016,0.226493,0.961338,0.501737,0.0683883,0,0.160258,0.642515,0.431735,-0.690165,0.237914,0.859352,-0.326868,0.0194199,0.309836,0.232049,0.262361,0.366121,-0.459451,0.130782,0.131276,-0.0308442,0.479102,-0.0294061,0.0679263,0.588084,0.0506148,0.0848514,1.67641,1.73913,0.0342365,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0
-31.7146,0.996946,0.114203,5,31,0,51.6555,-4.2519,-5.30822,0.791035,0.563315,1,0.695945,0,0.718095,-0.960427,-0.112644,0.641855,-1.7453,2.29766,-0.682963,-0.356762,-0.213987,0.467338,-0.228468,0.17252,1.67685,-0.549027,1.08884,-0.249638,-0.488407,-0.573402,-0.737068,0.543947,0.791035,0.392036,0,0.404514,-0.759731,-0.0891056,0.50773,-1.38059,1.81753,-0.540248,-0.282211,-0.169272,0.369681,-0.468941,0.025626,0.929939,-0.90631,1.34122,-0.368728,-0.337431,-0.31584,-0.114941,0.588084,0.0207311,0.00643903,0.310598,0.30613,-0.0142921,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0
-31.2355,0.966973,0.114203,5,31,0,43.8083,-4.15505,-4.99253,0.526352,1.06915,1,0.246016,0,0.969266,0.346148,-0.266752,1.11398,-1.30235,1.77426,0.0172381,1.77461,-0.556022,1.97314,-0.121099,0.986915,1.1252,0.335645,0.0470082,0.482949,0.93703,-1.23641,-0.556743,0.777551,0.526352,0.263027,0,1.03629,0.182196,-0.140406,0.586345,-0.685495,0.933887,0.00907329,0.93407,-0.292663,1.03856,-0.0344471,0.952564,1.45904,0.00527056,0.515394,0.505008,1.4378,-1.42753,-0.0579569,0.588084,0.0185375,0.0143929,0.776418,0.773153,-0.00414465,0,0,4,0,0,8,0,0,0,0,0,2,0,0,10,0,0,0
-25.9084,0.999589,0.114203,5,31,0,40.5028,-2.53668,-2.54133,0.568146,0.71634,1,-0.0247164,0,0.999695,-0.2543,0.00862049,-0.90194,1.10665,0.175927,-0.377319,-0.189523,0.0964309,-2.6143,-0.22613,-0.803266,-1.00805,-0.16631,1.43286,-0.774309,-2.03587,0.124745,-1.27036,0.903128,0.568146,-0.0177053,0,0.716121,-0.144479,0.0048977,-0.512434,0.628737,0.0999524,-0.214372,-0.107677,0.0547868,-1.4853,-0.157434,-0.575388,-0.705917,-0.138692,1.02298,-0.547818,-1.45457,0.0876254,-0.863443,0.588084,0.0827207,0.0877041,1.06024,1.06604,0.00498345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.2574,0.993159,0.114203,5,31,0,36.9805,-2.65596,-3.12214,0.539739,0.538873,1,0.677845,0,0.735205,0.823652,-0.14985,1.81921,-1.11923,-0.00245978,0.158224,0.894995,0.0765148,-0.923909,-0.569604,0.524705,0.996203,1.19817,-0.387821,0.651352,1.60043,-0.670687,1.04267,0.712029,0.539739,0.365273,0,0.396182,0.444557,-0.08088,0.981897,-0.604094,-0.00132764,0.0853999,0.483064,0.041298,-0.49867,0.0751907,0.153142,1.05918,0.0658696,-0.154546,0.315849,0.960979,-0.237765,0.075608,0.588084,0.0736796,0.0485097,0.658387,0.640971,-0.0251699,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0
-34.0918,0.978498,0.114203,5,31,0,47.7638,-2.03107,-3.36439,0.764766,0.0373878,1,-0.0646495,0,0.997908,-1.72494,-1.74912,0.446168,0.365982,-0.805885,-1.75004,-0.0463957,0.973954,-1.56096,-1.70389,-1.30581,-1.02038,1.64752,1.19811,2.23239,-0.281227,0.709021,-0.446091,0.894502,0.764766,-0.00241711,0,0.0373096,-1.31917,-1.33767,0.341214,0.279891,-0.616313,-1.33837,-0.0354818,0.744846,-1.19377,-0.0594023,-0.0444915,-0.0391485,0.0605836,0.0466489,0.0875197,-0.0103803,0.0240992,-0.0128705,0.588084,0.135597,0.0334533,0.24671,0.220638,-0.102144,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-24.8138,0.995672,0.114203,5,31,0,42.1523,-3.06803,-3.54742,0.30574,0.0751645,1,-0.00282285,0,0.999996,1.05377,-1.21823,-0.625029,-0.22227,0.0911574,-0.903887,-0.774261,-0.853577,-0.818306,-0.136419,-0.0393512,-0.566847,-0.168584,1.37404,0.924107,1.03325,0.552267,1.03678,0.838819,0.30574,-0.000212178,0,0.0751642,0.322179,-0.372463,-0.191096,-0.067957,0.0278705,-0.276354,-0.236723,-0.260973,-0.250189,-0.0104774,-0.00269932,-0.042474,-0.0126243,0.10326,0.0696516,0.0778279,0.0416918,0.0781021,0.588084,0.046548,0.0280871,0.6034,0.591939,-0.0184609,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,4
-31.9641,0.98558,0.114203,5,31,0,39.5827,-2.9481,-4.03805,0.297879,0.227384,1,-0.113214,0,0.993571,0.634956,-2.02311,1.17611,0.431429,-0.144451,0.724289,-0.605678,0.680667,0.899556,0.405172,-1.67931,0.389175,2.32401,-0.782079,0.880646,-1.03929,-1.47258,0.96864,0.74996,0.297879,-0.0257432,0,0.225922,0.18914,-0.60264,0.350338,0.128514,-0.043029,0.21575,-0.180419,0.202756,0.267959,0.0751917,-0.327312,0.0576466,0.513938,-0.17297,0.180312,-0.219206,-0.350211,0.19568,0.588084,0.051962,0.0179435,0.34532,0.333358,-0.0340185,0,5,12,0,5,0,0,9,0,0,2,0,0,0,0,0,1,0
-36.3487,0.982381,0.114203,5,31,0,49.1303,-4.12835,-2.76009,0.149135,0.0263447,1,0.646747,0,0.762705,-0.175112,1.34208,-2.8479,-0.746711,-1.14116,1.00409,-0.487736,-0.593593,-0.119655,-0.746096,-0.470835,-0.434831,0.0561757,0.302404,-0.555956,1.47845,-0.0418438,0.0293891,0.950323,0.149135,0.0170384,0,0.0200932,-0.0261153,0.200152,-0.424722,-0.111361,-0.170187,0.149745,-0.0727387,-0.0885257,-0.0178448,-0.0179751,0.0134062,-0.0572607,-0.011594,-0.0133671,0.0059371,0.0213966,-0.0109546,-0.0014482,0.588084,0.0161022,0.0595379,3.6975,3.86827,0.0434357,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
